"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 19 16:29:29 KRAT 2026","Thu Feb 19 16:29:31 KRAT 2026","2518","","user.UserLoginTest","","user.UserLoginTest","shouldLoginExistingUser","Логин существующего пользователя успешен","Создаём пользователя в @Before и выполняем успешный логин"
"passed","Thu Feb 19 16:29:22 KRAT 2026","Thu Feb 19 16:29:25 KRAT 2026","3379","","order.OrderCreateTest","","order.OrderCreateTest","shouldFailWithInvalidIngredientHash","Создание заказа с неверным хешем ингредиента возвращает 500","Отправляем некорректный id ингредиента авторизованным пользователем и ожидаем 500"
"passed","Thu Feb 19 16:29:39 KRAT 2026","Thu Feb 19 16:29:40 KRAT 2026","967","","user.UserCreateTest","","user.UserCreateTest","shouldNotCreateUserWithoutEmail","Нельзя создать пользователя без email","Отправляем запрос без email и ожидаем ошибку обязательных полей"
"passed","Thu Feb 19 16:29:15 KRAT 2026","Thu Feb 19 16:29:22 KRAT 2026","6907","","order.OrderCreateTest","","order.OrderCreateTest","shouldCreateOrderWithAuthorization","Создание заказа с авторизацией успешно","Создаём пользователя в @Before, получаем accessToken и создаём заказ с валидными ингредиентами"
"passed","Thu Feb 19 16:29:38 KRAT 2026","Thu Feb 19 16:29:39 KRAT 2026","804","","user.UserCreateTest","","user.UserCreateTest","shouldNotCreateUserWithoutPassword","Нельзя создать пользователя без password","Отправляем запрос без password и ожидаем ошибку обязательных полей"
"passed","Thu Feb 19 16:29:31 KRAT 2026","Thu Feb 19 16:29:33 KRAT 2026","2349","","user.UserLoginTest","","user.UserLoginTest","shouldNotLoginWithWrongEmail","Логин с неверным email возвращает 401","Передаём неверный email при корректном пароле"
"passed","Thu Feb 19 16:29:33 KRAT 2026","Thu Feb 19 16:29:36 KRAT 2026","2410","","user.UserLoginTest","","user.UserLoginTest","shouldNotLoginWithWrongPassword","Логин с неверным password возвращает 401","Передаём неверный пароль при корректном email"
"passed","Thu Feb 19 16:29:40 KRAT 2026","Thu Feb 19 16:29:43 KRAT 2026","2576","","user.UserCreateTest","","user.UserCreateTest","shouldNotCreateAlreadyRegisteredUser","Нельзя создать уже зарегистрированного пользователя","Регистрируем пользователя, затем повторяем регистрацию и ожидаем ошибку"
"passed","Thu Feb 19 16:29:36 KRAT 2026","Thu Feb 19 16:29:38 KRAT 2026","2634","","user.UserCreateTest","","user.UserCreateTest","shouldCreateUniqueUser","Создание уникального пользователя успешно","Создаём нового пользователя и проверяем success=true и наличие токенов"
"passed","Thu Feb 19 16:29:07 KRAT 2026","Thu Feb 19 16:29:15 KRAT 2026","7958","","order.OrderCreateTest","","order.OrderCreateTest","shouldCreateOrderWithoutAuthorization","Создание заказа без авторизации успешно","Создаём заказ без токена с валидными ингредиентами и ожидаем success=true"
"passed","Thu Feb 19 16:29:26 KRAT 2026","Thu Feb 19 16:29:28 KRAT 2026","2993","","order.OrderCreateTest","","order.OrderCreateTest","shouldNotCreateOrderWithoutIngredients","Нельзя создать заказ без ингредиентов","Отправляем пустой список ингредиентов авторизованным пользователем и ожидаем 400 и сообщение об ошибке"
"passed","Thu Feb 19 16:29:43 KRAT 2026","Thu Feb 19 16:29:44 KRAT 2026","831","","user.UserCreateTest","","user.UserCreateTest","shouldNotCreateUserWithoutName","Нельзя создать пользователя без name","Отправляем запрос без name и ожидаем ошибку обязательных полей"
